flag,domain,company,contact,title,detail,priority,campaign
contact is not a decision maker,superiorelectricinc.com,,Sidney Feldman,Chief Financial Officer,,master-P3,
contact is not a decision maker,phillips-southern.org,,Jarrod Divelbess,General Superintendent,,master-P2,
contact is not a decision maker,formex.us,,Mustafa A.,Executive Manager,,master-DQ,
contact is not a decision maker,omnielectric.io,,Alexander Diaz,Director of Operations,,master-DQ,
contact is not a decision maker,foxsystemsinc.com,,Brandon Coggins,Electrical Contractor,,master-P3,
contact is not a decision maker,vslconstructors.com,,Jason Jenkins,Area Manager,,master-P3,
"non-US domain, mandate is US-only",ppultd.co.uk,Premium Power Units Ltd.,,,,campaign-P2,Motor & Generator Companies
"non-US domain, mandate is US-only",adc-electrical.co.uk,ADC Electrical Ltd,,,,master-DQ,
"non-US domain, mandate is US-only",johnfordelectricalservices.co.uk,Commercial Electrician,,,,master-DQ,
"non-US domain, mandate is US-only",gandptechnology.co.uk,G&P Technology,,,,master-DQ,
"non-US domain, mandate is US-only",tmelectrical.ca,T M Electric,,,,master-DQ,
"non-US domain, mandate is US-only",alselectric.ca,Al's Electric Services Ltd,,,,master-DQ,
not a real company domain,moodyselectricinc.godaddysites.com,Moody's Electric,,,not a company domain - website-builder/directory host,campaign-P2,Commercial & Industrial Ctrs
not a real company domain,petrellielectr.wpengine.com,"Petrelli Electric, INC",,,not a company domain - website-builder/directory host,P3-candidate,
not a real company domain,directstrikelightningprotection.github.io,Direct Strike Lightning protection,,,not a company domain - website-builder/directory host,master-DQ,
not a real company domain,musgrove.ourcareerpages.com,Musgrove Construction,,,not a company domain - website-builder/directory host,master-DQ,
same phone as another target - possible duplicate,"4c2electrical.com, diamondindustrialgroup.com",,,,,,
same phone as another target - possible duplicate,"cbehq.com, henderson-services.com",,,,,,
same phone as another target - possible duplicate,"maritimetechnicalservices.com, rb-marine.com",,,,,,
same phone as another target - possible duplicate,"transformer-svc.com, transformerservicesinc.com",,,,,,
same phone as another target - possible duplicate,"panelshop.com, premierautomation.com",,,,,,
same phone as another target - possible duplicate,"panelshop.com, premierautomation.com",,,,,,
same phone as another target - possible duplicate,"panelshop.com, premierautomation.com",,,,,,
same phone as another target - possible duplicate,"panelshop.com, premierautomation.com",,,,,,
same phone as another target - possible duplicate,"calvielectric.com, currentmasterelectric.com",,,,,,
