company,domain,bucket,campaign,priority,wave,had_email_before,had_phone_before,enriched,has_mobile,source,status
M. L. Caccamise Electric Corp.,caccamiseelectric.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"Michiana Contracting, Inc",michianacontracting.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven,office line only; no verified email
"North Cherokee Electrical, Inc",ncelectrical.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
Outsen Electric Inc.,outsenelectric.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven,no phone
Progression Electric,progressionelectric.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"Ross Electric-Enterprise, Inc.",rosselectric.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Select Electric, Inc.",selectelectricinc.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Statewide Traffic Signal Company,statewidetrafficsignals.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
TLL Electric,tllelectric.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
"Traf-Tex, Inc.",traf-tex.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Advanced Cabling Solutions INC.,acstraffic.net,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,,,inven,no owner-title match (2 contacts on file)
Allegheny City Electric,alleghenycityelectric.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match
Bansal Construction Inc,bansalconstruction.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Colter Electric Co,colterelectric.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match (4 contacts at domain)
Diamond Electrical Company,deco-la.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (8 contacts on file)
"Gades Sales Co., Inc.",gadestraffic.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,yes,inven,non-owner title returned (VP)
"Gerstner Electric, Inc.",gerstnerelectric.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Hawk Enterprises,hawk-inc.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match (2 contacts at domain)
"Highway Safety Devices, Inc.",highwaysafetydevices.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match (12 contacts on file)
Integral Blue,integral-blue.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,non-owner title returned (EVP)
"Jack B. Harper Electrical, LLC",jhe-la.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
NY-Conn Corporation,nyconncorp.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
R J Haynie & Assoc Inc,rjhaynie.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no provider coverage
"Reedwick, LLC",reedwick.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Shoals Electric Co Inc,shoalselectric.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Tanko Lighting Inc,tankolighting.com,S8,Traffic Signals & Lighting,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Moulison Heavy Electrical,moulison.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match (4 contacts on file)
Halley Engineering Contractors,halleyeng.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven,office line only; no verified email
"Lucent Group, INC.",lucentgp.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
"Midstate Traffic Control, INC.",midstatetraffic.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match (3 contacts at domain)
New England Traffic Solutions,newenglandtrafficsolutions.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,yes,inven,non-owner title (VP)
"Path Master, Inc.",pathmasterinc.com,S8,Traffic Signals & Lighting,campaign-P3,CAMPAIGN,,,yes,,inven,office line only; non-owner title (VP)
Venture Electric Company,ventureelectricva.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Austin Electrical Construction,austinelectricalconstruction.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Lantz Electric, Inc.",lantzelectric.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (2 contacts on file)
Elemco Services Inc.,elemco.com,T1,Testing & Commissioning,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no coverage
Quality Power Solutions,qpsolutions.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Southern New England Electrical Testing,electrical-testing.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no coverage
"United Power Services, Inc.",united-power.com,T1,Testing & Commissioning,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
High Voltage Electric,highvoltageelectric.com,T1,Testing & Commissioning,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no title match (3 contacts at domain)
Point On Wave,pointonwave.com,T1,Testing & Commissioning,campaign-P2,CAMPAIGN,,,yes,,inven,office line only; contact located Canada - verify US operations
"RB Marine Power Engineering, Inc.",rb-marine.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Sentinel Electric, Inc",sentinelelectricinc.com,T1,Testing & Commissioning,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Fulcrum Reliability Systems,fulcrumreliability.com,T1,Testing & Commissioning,campaign-P2,CAMPAIGN,,,yes,yes,inven,not owner-level title (EVP); no verified email
Giga Electrical,gigaelectricalca.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Industrial Electric Testing,industrialelectrictesting.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no title match
J.G. Electrical Testing Corporation,jgelectricaltesting.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Power Analysis,poweranalysis.us,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
Trace Testing,tracetesting.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (3 contacts on file)
Tru-Amp Engineering Services,tru-amp.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no provider coverage
"741 solutions, LLC",741solutions.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
CBS Nuclear Service Inc.,cbsnuclear.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,no verified email
"Crown ERAM, LLC",crowneram.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,,inven+grata,"title_filter_miss: 22 contacts, none matched owner titles"
"III Phase, Inc",iiiphaseinc.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,,inven,ok
Southeastern Transformer Co,setransformer.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (7 contacts on file)
"Youngstown Service Shop, Inc.",yss.us,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no title match
North American Switchgear,naswgr.com,T2,Electrical Apparatus Servicing,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Alamo Transformer Supply,alamotransformer.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
G&S Technologies,gstechnologies.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (4 contacts on file)
Instel Inc,instelpower.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Jordan Transformer LLC,jordantransformer.com,T2,Electrical Apparatus Servicing,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Michigan Switchgear Services,michiganswitchgear.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Automation Control Company, Inc.",accbr.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,not owner-level title (VP Sales)
Electronic Maintenance Associates Inc.,emainc.net,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
FirstPower Group LLC,firstpowergroupllc.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
IVS Incorporated,ivsincorporated.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
"Industrial Technical Services, Inc.",industrialtechnicalservices.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Power Electronics,powerelectronicsus.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,,inven+grata,no owner-title match (4 contacts on file)
Power Substation Services,powersubservices.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,,,inven,no title match
Variable Speed Solutions Inc.,variablespeedsolutions.com,T2,Electrical Apparatus Servicing,campaign-P2,CAMPAIGN,,,yes,yes,inven,"gatekeeper only - EA to President, not the owner"
"H&H Transformer, Inc.",handhtransformer.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,,,inven,no title match (1 contact at domain)
T & R Service Company,trservice.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (3 contacts on file)
Tucker Industrial Solutions,tiscontrols.com,T2,Electrical Apparatus Servicing,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Encore Energy Group,encoreenergygroup.com,S9,EV Charging,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Blue Whale EV,bluewhaleev.com,S9,EV Charging,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Chargie,chargie.com,S9,EV Charging,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
"Francis Energy, LLC",francisenergy.com,S9,EV Charging,campaign-P3,CAMPAIGN,,,yes,,inven,no phone
Graviti,gravitienergy.com,S9,EV Charging,campaign-P2,CAMPAIGN,,,yes,,inven,no phone; all emails unverified/low quality
Green Energy Technology,get-ny.com,S9,EV Charging,campaign-P3,CAMPAIGN,,,yes,,inven,"no phone, no verified email"
PlugIn Stations Online LLC,pisoev.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Sweet EV Charging,sweetevcharging.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,,,inven,no provider coverage for domain
Verdek™,verdek.com,S9,EV Charging,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Utiligi,utiligi.com,S9,EV Charging,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
ChargeSmart EV,chargesmartev.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Energy Efficiency Pros,eepros.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,non-owner title returned (EVP Sales)
Future Fuels,futurefuelsenergy.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
GoSpace LLC,gospacego.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,not owner-level title (VP BD)
Heartland Charging Services,heartlandchargingservices.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
National Car Charging,nationalcarcharging.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Poweral,poweral.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,ok
Spike Electric Controls,spikeelectric.com,M13,Electrical Equipment Mfg,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
Alfa Transformer,alfatransformer.com,M13,Electrical Equipment Mfg,campaign-P3,CAMPAIGN,,,yes,,inven,office line only; contact located India - likely wrong match
Hope Electric Inc,hopeelectric.com,M13,Electrical Equipment Mfg,campaign-P3,CAMPAIGN,,,yes,,inven+grata,4 contacts at domain but none matched owner-level titles
National Breaker Services,nationalbreakerservices.com,M13,Electrical Equipment Mfg,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no coverage
"Cyprium Induction, LLC",cypriuminduction.com,M13,Electrical Equipment Mfg,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
Coastline Power Solutions,coastlinepowersolutions.com,M13,Electrical Equipment Mfg,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no title match (22 contacts at domain)
Seaboard Controls LLC,seaboardcontrols.com,M13,Electrical Equipment Mfg,campaign-P2,CAMPAIGN,,,yes,yes,inven,ok
FreeWire Technologies,getspeedcharge.com,M13,Electrical Equipment Mfg,campaign-Nurture,CAMPAIGN,,,,,inven,no provider coverage for domain
Orion Technical Services LLC,oriontechserv.com,E12,Power Systems Engineering,campaign-P3,CAMPAIGN,,,yes,,inven+grata,no owner-title match
Advanced Safety & Energy,asesafety.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
"Cross Discipline Engineering, LLC",crossdiscipline.com,E12,Power Systems Engineering,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
"D.L. Steiner, Inc.",dlsteiner.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,,,yes,yes,inven,ok
Taku Engineering llc,takuengineering.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,,,,,inven,no owner-title match
"Ampsafe, LLC.",ampsafe.com,E12,Power Systems Engineering,campaign-P3,CAMPAIGN,,,yes,yes,inven,ok
"Electrical Safety Specialists, LLC",arcflashpro.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,,,yes,,inven+grata,no owner-title match (9 contacts on file)
Electrical Solutions Corp,escventura.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,"named-mode mismatch: returned a UK Simon King at Arup, not the ESC Ventura owner; office line only"
"TDN Electric, Inc.",tdnelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Blakeslee Electric Inc,blakesleeelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Bowers Electric, LLC",bowerselectric.net,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Control Works,control-works.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Cook Electrical of Jacksonville, Inc.",cookelectrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
G3 Electrical,g3electrical.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Genesis Electric & Technologies, Inc.",getgenesiselectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Gray Electric LLC,grayelectricllc.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,no phone
Imperial Lighting,imperiallighting.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Lighting Services, Inc.",lightingservicesinc.net,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,,,inven,named lookup: no contact matching 'Cooper C.' at domain
Lira Electric LLC,liraelectric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,,inven,no mobile; direct dial only
Stence Electric,stenceelectric.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,named lookup: no contact found for Glenda Stence
Teays Valley Engineering,teaysvalleyeng.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Tercero INC.,terceroinc.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,,inven,office line only
Tirone Electric & Data,tirone-electric.com,T5,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Western States Controls,iwestco.com,T4,Commercial & Industrial Ctrs,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
EV Revolution,evrevolution.com,S9,EV Charging,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Excel Ltd. Inc.,excelltdinc.com,M13,Electrical Equipment Mfg,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,only verified email is personal and name-mismatched (Andrew) - verify
Northeast Industrial Batteries Inc.,northeastbatteries.com,M13,Electrical Equipment Mfg,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
SecuControl,secucontrol.com,M13,Electrical Equipment Mfg,campaign-Nurture,CAMPAIGN,yes,,yes,,inven,office line only; Germany-based contact
"Puleo Electronics, Inc",annunciator.com,M13,Electrical Equipment Mfg,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Warren Lightning Rod Company,wlrc.net,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,"title is VP Operations, not owner-level"
"A/C Lightning Protection, Inc.",aclightningprotection.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,likely wrong match - returned person is a Scooters Coffee franchise owner in Omaha NE with all verified emails on scooterscoffee.com; only aclightningprotection.com email is unverified/Very bad. Do not use without web verification.
G&G Electric Service Inc.,g-gelectricservice.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Larson Lightning Protection,larsonlightning.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Lightning Prevention Systems, Inc",lpsnet.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Quality Lightning Protection,qlpnc.com,S10,Lightning Protection,campaign-Nurture,CAMPAIGN,yes,,yes,,inven,no phone returned; email unverified guess
Ancona Controls,anconacontrols.com,T6,Mission critical power,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Sdm Metro,sdmmetro.com,T6,Mission critical power,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
UniPower LLC,unipowerllc.com,T6,Mission critical power,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Delmarva Electric Motors and Machine Incorporated (Demco),demco.biz,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,no verified company-domain email; only personal comcast.net address is verified
Houston Pump and Gear,houstonpumpandgear.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Dahl-Beck Electric,dahlbeckelectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Electromechanex, LLC",electromechanex.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Gulf South Armature Inc,gulfsoutharmature.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,named lookup: no contact matching 'Blyght Wunstell' at domain
Sloan Electric,sloanelectric.com,S7,Motor & Generator Companies,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Hive Power Engineering LLC,hive-power.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,no verified company-domain email; only personal addresses verified
"D. Hittle & Associates, Inc.",dhittle.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"IK Power System Solutions, Inc.",ikpower.com,E12,Power Systems Engineering,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,"title mismatch: provider returns Project Manager, work list had Owner; domain/initials/New Orleans location consistent so likely same person - verify title"
"Advanced Technology Solutions, Inc.",ats-inc.org,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Dude Electrical Testing,dudetesting.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,named lookup: no contact matching 'Scott Dude' at domain
"Specialized Engineering Services, Inc.",specializedengineeringservices.com,T1,Testing & Commissioning,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Frazier Signal Technologies,fraziersignals.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Hummel Electric Inc,hummelelectric.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,named lookup: no contact found for Wade Hummel
"Lamey Electric, Inc.",lameyelectric.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,"EVP, not owner-level - use as secondary contact"
"Tiffany Electric, Inc.",tiffanyelectric.com,S8,Traffic Signals & Lighting,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,named lookup: no contact matching 'Brian Desrosiers' at domain
Belenus Power Group,belenuspower.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
"Excel Underground, LLC",excelunderground.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
High Voltage Specialists,highvoltagespecialists.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,yes,,yes,yes,inven,ok
Top Line Hands LLC,tlhpower.com,T3,Utility Line & Substation,campaign-Nurture,CAMPAIGN,yes,,yes,,inven+grata,named lookup: no contact matching Marcus Rogers at domain
Amcon Industrial,amconindustrial.com,Long tail / holding,,ben-C,BEN,yes,,yes,yes,inven,ok
Franklin Engineering,franklinengineering.com,Long tail / holding,,ben-C,BEN,yes,,yes,,inven+grata,named lookup: no contact found for Bob Guest
HNA Engineering,hnaengineering.com,Long tail / holding,,ben-C,BEN,yes,,yes,,inven+grata,named lookup: no contact matching Josh Holtgrewe at domain
JNW Global,jnwglobal.com,Motor & generator services,,ben-C,BEN,yes,,yes,,inven,no phone returned
Landworx Contracting,landworxcontracting.com,Substation & T&D,,ben-C,BEN,yes,,,,inven,named lookup: no contact matching Marshall Petty at domain
MJ Price Construction,mjpriceconstruction.com,Substation & T&D,,ben-C,BEN,yes,,yes,,inven+grata,named lookup: no contact matching 'Mason Price' at domain
Raxis Engineering,raxisengineering.com,Long tail / holding,,ben-C,BEN,yes,,yes,,inven+grata,named lookup: no contact matching Jose Morales at domain
Sullivan Eastern,sullivaneastern.com,Substation & T&D,,ben-C,BEN,yes,,,,inven,named lookup: no contact matching 'Tom Sullivan' at domain
"Global Electronics Testing Services, LLC",gets-usa.com,T1,,P2-candidate,W1,,,yes,yes,inven,ok
Gulfcoast Calibration,gulfcoastcalibration.com,T1,,P3-candidate,W1,,,yes,,inven+grata,3 contacts at domain but none matched owner-level titles
Aa Technology Inc,aa-tech.com,T1,,P2-candidate,W1,,,yes,,inven+grata,"title_filter_miss: 15 contacts, none matched owner titles"
Tillson Industrial Mechanics,tillsonindustrial.com,T2,,P3-candidate,W1,,,yes,,inven+grata,2 contacts at domain but none owner-level titled
Technology Resource Center,trcinc.net,T3,,P3-candidate,W1,,,yes,,inven+grata,no owner-title match
"Utility Construction Services, LLC",ucspower.com,T3,,P2-candidate,W1,,,yes,yes,inven,ok
Arrowhead Line,arrowheadline.com,T3,,P3-candidate,W1,,,yes,yes,inven,note: also holds a verified pinnacletransition.com email - possible second role or undisclosed affiliate
"Condux Tesmec, Inc.",conduxtesmec.com,T3,,P3-candidate,W1,,,yes,,inven,Italy (Bergamo) - likely wrong match for US entity; office line only; all emails unverified
"AMPP Construction, LLC",amppconstruction.com,T3,,P2-candidate,W1,,,yes,,inven+grata,no coverage
"Petrelli Electric, INC",petrellielectr.wpengine.com,T3,,P3-candidate,W1,,,yes,,inven,likely wrong match - returned a marketing-agency founder at aclipsemarketing.net (Orlando FL); the wpengine.com staging domain is not the real company domain. Find Petrelli Electric real domain before retrying.
Alcantel Division of Alcan Electric,alcanelectric.com,T5,,P3-candidate,W1,,,yes,yes,inven,ok
"Contemporary Electrical Services, Inc.",cont-elec.com,T5,,P3-candidate,W1,,,yes,,inven+grata,17 contacts at domain but none matched owner-level titles
Energy Management Corporation,goemc.com,S7,,P3-candidate,W1,,,yes,,inven+grata,no provider coverage for domain
Palm Electric,palmelectric.com,S7,,P3-candidate,W1,,,yes,,inven+grata,1 contact at domain but no owner-level title match
KSA Lighting & Controls,ksalighting.com,S8,,P3-candidate,W1,,,yes,yes,inven,non-owner title returned (VP Specification Sales)
"TJW Engineering, Inc.",tjwengineering.com,S8,,P3-candidate,W1,,,yes,yes,inven,ok
"MCH Electric, Inc.",mchelectric.com,S8,,P3-candidate,W1,,,yes,,inven+grata,8 contacts at domain but none owner-level titled
"Scientific Lightning Solutions, LLC",sls-us.com,S10,,P3-candidate,W1,,,yes,yes,inven,caution: phone set includes Panama (+507) and Brazil (+55) numbers and slplighting.com email guesses - contact may span multiple entities; verify the US mobiles
Technical Consulting Group,tcongrp.com,S10,,P3-candidate,W1,,,yes,,inven,"office line only; profile location Mannheim, Germany - verify entity match"
Universal EV Chargers,universalevcharging.com,S9,,P2-candidate,W1,,,yes,yes,inven,"all verified emails are on universalgreengroup.com / universalsolarsystem.net, not the target domain - possible parent/affiliate group; verify entity"
Pacific Energy Concepts (PEC),pecnw.com,S9,,P3-candidate,W1,,,yes,yes,inven,ok
Solis USA,solisusa.com,S9,,P3-candidate,W1,,,yes,yes,inven,"VP BizDev, not owner-level; very large low-confidence phone set - treat mobiles as unconfirmed"
Donovan Energy,donovanenergy.com,S9,,P3-candidate,W1,,,yes,yes,inven,ok
Power Quality Inc,powerquality.org,T1,,P3-candidate,W2,,,yes,yes,inven,likely wrong match / non-US: contact location Bangkok Thailand with a powerquality.co.th email and +66 line; may be a Thai affiliate rather than the US target. Verify.
e-Hazard,e-hazard.com,T1,,P3-candidate,W2,,,yes,,inven,"Tunisia - likely wrong match, junk profile; office line only; all emails unverified. Also an electrical-safety training firm = repo DQ pattern"
Alpine Restoration,alpinecr.com,T1,,Nurture-candidate,W2,,,yes,,inven+grata,no provider coverage for domain
"ARGO Systems, LLC",argo-sys.com,T1,,P3-candidate,W2,,,yes,yes,inven,ok
HydroScience Engineers,hydroscience.com,T1,,P3-candidate,W2,,,yes,yes,inven,ok
"Engineering Design Initiative, Ltd",edi-dolejs.com,T1,,P3-candidate,W2,,,yes,,inven+grata,no provider coverage for domain
"L. J. Walch Co., Inc.",ljwalch.com,T2,,Nurture-candidate,W2,,,yes,yes,inven,"VP Production, not owner-level"
